sleeve,pipe,setup,tag
HDPE,HDPE,Single,Raw Water
HDPE,HDPE,Parallel,Raw Water
HDPE,HDPE,Parallel Mix,Raw Water
HDPE,HDPE,Bundle Uniform,Raw Water
HDPE,HDPE,Bundle Various,Raw Water
HDPE,HDPE,Bundle Mix,Raw Water
HDPE,HDPE,Single,Potable Water
HDPE,HDPE,Parallel,Potable Water
HDPE,HDPE,Parallel Mix,Potable Water
HDPE,HDPE,Bundle Uniform,Potable Water
HDPE,HDPE,Bundle Various,Potable Water
HDPE,HDPE,Bundle Mix,Potable Water
HDPE,HDPE,Single,Recycled Water
HDPE,HDPE,Parallel,Recycled Water
HDPE,HDPE,Parallel Mix,Recycled Water
HDPE,HDPE,Bundle Uniform,Recycled Water
HDPE,HDPE,Bundle Various,Recycled Water
HDPE,HDPE,Bundle Mix,Recycled Water
HDPE,HDPE,Single,Sea Water
HDPE,HDPE,Parallel,Sea Water
HDPE,HDPE,Parallel Mix,Sea Water
HDPE,HDPE,Bundle Uniform,Sea Water
HDPE,HDPE,Bundle Various,Sea Water
HDPE,HDPE,Bundle Mix,Sea Water
HDPE,HDPE,Single,Pressute Sewage and Sludges
HDPE,HDPE,Parallel,Pressute Sewage and Sludges
HDPE,HDPE,Parallel Mix,Pressute Sewage and Sludges
HDPE,HDPE,Bundle Uniform,Pressute Sewage and Sludges
HDPE,HDPE,Bundle Various,Pressute Sewage and Sludges
HDPE,HDPE,Bundle Mix,Pressute Sewage and Sludges
HDPE,HDPE,Single,Storm Water
HDPE,HDPE,Parallel,Storm Water
HDPE,HDPE,Parallel Mix,Storm Water
HDPE,HDPE,Bundle Uniform,Storm Water
HDPE,HDPE,Bundle Various,Storm Water
HDPE,HDPE,Bundle Mix,Storm Water
HDPE,HDPE,Single,Sand Gravel and Slurries
HDPE,HDPE,Parallel,Sand Gravel and Slurries
HDPE,HDPE,Parallel Mix,Sand Gravel and Slurries
HDPE,HDPE,Bundle Uniform,Sand Gravel and Slurries
HDPE,HDPE,Bundle Various,Sand Gravel and Slurries
HDPE,HDPE,Bundle Mix,Sand Gravel and Slurries
HDPE,HDPE,Single,Medium Pressure Gas
HDPE,HDPE,Parallel,Medium Pressure Gas
HDPE,HDPE,Parallel Mix,Medium Pressure Gas
HDPE,HDPE,Bundle Uniform,Medium Pressure Gas
HDPE,HDPE,Bundle Various,Medium Pressure Gas
HDPE,HDPE,Bundle Mix,Medium Pressure Gas
HDPE,HDPE,Single,Low Pressure Gas
HDPE,HDPE,Parallel,Low Pressure Gas
HDPE,HDPE,Parallel Mix,Low Pressure Gas
HDPE,HDPE,Bundle Uniform,Low Pressure Gas
HDPE,HDPE,Bundle Various,Low Pressure Gas
HDPE,HDPE,Bundle Mix,Low Pressure Gas
HDPE,HDPE,Single,Electrical Cables
HDPE,HDPE,Parallel,Electrical Cables
HDPE,HDPE,Parallel Mix,Electrical Cables
HDPE,HDPE,Bundle Uniform,Electrical Cables
HDPE,HDPE,Bundle Various,Electrical Cables
HDPE,HDPE,Bundle Mix,Electrical Cables
HDPE,HDPE,Single,Telecommunications Cables
HDPE,HDPE,Parallel,Telecommunications Cables
HDPE,HDPE,Parallel Mix,Telecommunications Cables
HDPE,HDPE,Bundle Uniform,Telecommunications Cables
HDPE,HDPE,Bundle Various,Telecommunications Cables
HDPE,HDPE,Bundle Mix,Telecommunications Cables
HDPE,HDPE,Single,Cathodic Protection
HDPE,HDPE,Parallel,Cathodic Protection
HDPE,HDPE,Parallel Mix,Cathodic Protection
HDPE,HDPE,Bundle Uniform,Cathodic Protection
HDPE,HDPE,Bundle Various,Cathodic Protection
HDPE,HDPE,Bundle Mix,Cathodic Protection
HDPE,HDPE,Single,Earthing Cables
HDPE,HDPE,Parallel,Earthing Cables
HDPE,HDPE,Parallel Mix,Earthing Cables
HDPE,HDPE,Bundle Uniform,Earthing Cables
HDPE,HDPE,Bundle Various,Earthing Cables
HDPE,HDPE,Bundle Mix,Earthing Cables
HDPE,HDPE,Single,Ground Dewatering
HDPE,HDPE,Parallel,Ground Dewatering
HDPE,HDPE,Parallel Mix,Ground Dewatering
HDPE,HDPE,Bundle Uniform,Ground Dewatering
HDPE,HDPE,Bundle Various,Ground Dewatering
HDPE,HDPE,Bundle Mix,Ground Dewatering
HDPE,Steel,Single,Ethanol and Biofuels
HDPE,Steel,Parallel,Ethanol and Biofuels
HDPE,Steel,Parallel Mix,Ethanol and Biofuels
HDPE,Steel,Dual,Ethanol and Biofuels
HDPE,Steel,Dual Various,Ethanol and Biofuels
HDPE,Steel,Bundle Mix,Ethanol and Biofuels
HDPE,Steel,Single,Hydrogen Compounds
HDPE,Steel,Parallel,Hydrogen Compounds
HDPE,Steel,Parallel Mix,Hydrogen Compounds
HDPE,Steel,Dual,Hydrogen Compounds
HDPE,Steel,Dual Various,Hydrogen Compounds
HDPE,Steel,Bundle Mix,Hydrogen Compounds
HDPE,Steel,Single,Hydrogen
HDPE,Steel,Parallel,Hydrogen
HDPE,Steel,Parallel Mix,Hydrogen
HDPE,Steel,Dual,Hydrogen
HDPE,Steel,Dual Various,Hydrogen
HDPE,Steel,Bundle Mix,Hydrogen
HDPE,Steel,Single,Fuel/Gasoline
HDPE,Steel,Parallel,Fuel/Gasoline
HDPE,Steel,Parallel Mix,Fuel/Gasoline
HDPE,Steel,Dual,Fuel/Gasoline
HDPE,Steel,Dual Various,Fuel/Gasoline
HDPE,Steel,Bundle Mix,Fuel/Gasoline
HDPE,Steel,Single,Diesel
HDPE,Steel,Parallel,Diesel
HDPE,Steel,Parallel Mix,Diesel
HDPE,Steel,Dual,Diesel
HDPE,Steel,Dual Various,Diesel
HDPE,Steel,Bundle Mix,Diesel
HDPE,Steel,Single,Jet fuel
HDPE,Steel,Parallel,Jet fuel
HDPE,Steel,Parallel Mix,Jet fuel
HDPE,Steel,Dual,Jet fuel
HDPE,Steel,Dual Various,Jet fuel
HDPE,Steel,Bundle Mix,Jet fuel
HDPE,Steel,Single,Medium Pressure Gas
HDPE,Steel,Parallel,Medium Pressure Gas
HDPE,Steel,Parallel Mix,Medium Pressure Gas
HDPE,Steel,Dual,Medium Pressure Gas
HDPE,Steel,Dual Various,Medium Pressure Gas
HDPE,Steel,Bundle Mix,Medium Pressure Gas
HDPE,Steel,Single,Low Pressure Gas
HDPE,Steel,Parallel,Low Pressure Gas
HDPE,Steel,Parallel Mix,Low Pressure Gas
HDPE,Steel,Dual,Low Pressure Gas
HDPE,Steel,Dual Various,Low Pressure Gas
HDPE,Steel,Bundle Mix,Low Pressure Gas
HDPE,Steel,Single,High/Transmission Pressure Gas
HDPE,Steel,Parallel,High/Transmission Pressure Gas
HDPE,Steel,Parallel Mix,High/Transmission Pressure Gas
HDPE,Steel,Dual,High/Transmission Pressure Gas
HDPE,Steel,Dual Various,High/Transmission Pressure Gas
HDPE,Steel,Bundle Mix,High/Transmission Pressure Gas
HDPE,Steel,Single,Ground Dewatering
